,Link,Job Title,Company,Rating,Location,Salary,Date
0,,,,,,,
1,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A0sLjryQUNkc81K2goHfqpo9JHml6Vo2yWT4XuRGLXtsN7afMoSAWdBecNwvrHUtCw3PvMCjNNn5xS9IohfuK8DEobZeF9Lsis_SzQJ0o_Vocaq9kGFHcn3tdrzvRXoHGuybaMk1xUgQWWtoxpod8I61pRGLM5IuoNjwfQ5yyYT-AGJS98xmT_xsjamZcduZZPZHTtqjJvYechFzmVJgC_StpkUaSBCj25d0cg0fiHb6pNlzIm4yv1l15Pye15XuU4Y-gBdW2hfCQ7u9bKKzPA0aJSea5LFI007_rGEYbFhq8e0Q9I-0HfR4gl0c12quYBBODuAHml6u1_dQOa-iXXYcMULtp2bkexfr2m2pKgknnb3WSrHHQE5Ot0ap2m3taFNX1ymtnsv4vJQgjar2QVYUwD9HBDCJyaS2-nNFkLBJ48ux4xhGRHhPGRd5lZRMZJvs20bPl-CEdmT2C7wXw_Us-iZbMvB83_MSTE55j_jKzw-D1E3fr4OaZxeGHL3PmZgKFar7eR4_VYmm8thZw7cE_qimxXBZzF2KYFoazDhA0-pni0Wumf-0v1xl92-SMxj-GIrE2GEiXz_zEM93-ef84NQmxzyTNY6Y5xT_FfH0pVPnSYfLxwWxTw2HfI9BllAPNWrO_oYQ==&xkcb=SoAd-_M3VpKq5ZwFoB0LbzkdCdPP&p=0&fvj=0&vjs=3,Data Management Analyst,WELLS FARGO BANK,3.7,"Bengaluru, Karnataka",N/A,PostedPosted 3 days ago
2,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A0sLjryQUNkc81K2goHfqpo9JHml6Vo2yWT4XuRGLXtsN7afMoSAWdBecNwvrHUtB-iO1rdruogf-tCJlO8EUvSW09rwd3MZt7HLgaDi99hENRGe9LYMWCiCdBOG7dfdrXqBuSVdVQdmrKaDAmlLtJJ1Kc4vNSIoz5Z_q73Cga5vXr_PEUXW3Q9X8QSZ95OLm_z8tYtVP1s75jZ90Svj-BjTb88Ryhhfitz1CW8AdAefdRHkqXlqnxfL3bqp0re2PqEXtguYrQtSrnsTdO5m_l6sFat7-QJcMHiWFZrJwRw7CC74SfG3VyF4gt3tg_Wa59Z3GKWs0CAsBr7yWMMEK8K50QxCK0KtS6vIp0DvhMPgMqNS_FJ771yNWdqcM59MeA5TbwSXEmc6Na7XyISzleTP07uveEIbzMYFgg7xtZYOUbT9WArCDgSWbkd-jTVHh0yyRrQ1udDgSggMicktw57EbwQuYMY6Q7gKiG6pS_SXjYrC_yZBH2ODwzzDwNnuvBOcQn_11Ewz7Z7PIwo0IftBU8tjNiMdgEn3KQQBvNONvglLaXUzDHzXsPeY-siiENTwTlgQ7u6civetZpkSeumoDTYGVckXxmwzd51o1gAxXDRCePo4xvk0ZWbN6l59rV3FdzloRWlA==&xkcb=SoCT-_M3VpKq5YQFoB0LbzkdCdPP&p=1&fvj=0&vjs=3,Innovation Digital Data Products & Insights Lead Product Visualizer for SDI Payments Analytics,WELLS FARGO BANK,3.7,"Bengaluru, Karnataka",N/A,PostedPosted 11 days ago
3,https://in.indeed.com/rc/clk?jk=03198a64f6337e24&fccid=3444e7c94299ba32&vjs=3,Data Analyst,NOKIA,4.1,"Bengaluru, Karnataka",N/A,PostedPosted 5 days ago
4,https://in.indeed.com/rc/clk?jk=68e36a5fcb42a330&fccid=602e475c44894a70&vjs=3,Junior Data Analyst,Millennium,N/A,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
5,https://in.indeed.com/company/Material-Depot/jobs/Data-Analyst-ab70b8b41ee8c889?fccid=e5f614ecdee6da94&vjs=3,Data Analyst,Material Depot,N/A,"Bengaluru, Karnataka","₹3,00,000 - ₹4,80,000 a year",PostedToday
6,https://in.indeed.com/rc/clk?jk=daad44df5b35a2cc&fccid=146443e77d8c0778&vjs=3,Data Analyst,Virtusa,3.7,"Bengaluru, Karnataka",N/A,PostedPosted 5 days ago
7,https://in.indeed.com/rc/clk?jk=efc066138a5b3562&fccid=b25343f021fb51d7&vjs=3,Internship for Data Analytics,Mercedes-Benz Research and Development India...,4.0,"Bengaluru, Karnataka",N/A,PostedPosted 6 days ago
8,https://in.indeed.com/company/NKP-Empire-Ventures-Pvt-Ltd/jobs/Data-Analyst-945434700959b5bc?fccid=9781900a667aa65d&vjs=3,Data Analyst,NKP EMPIRE VENTURES PVT LTD,5.0,"Bengaluru, Karnataka","₹25,000 - ₹30,000 a month",EmployerActive 2 days ago
9,"https://in.indeed.com/company/Bodycraft-Salon-,Skin-&-Cosmetology-Pvt-Ltd/jobs/Data-Analyst-3cc233c3ab5eeff3?fccid=5b8429b6b38dd8ee&vjs=3",Data Analyst,"Bodycraft Salon ,Skin & Cosmetology Pvt Ltd",N/A,"Bengaluru, Karnataka","₹35,000 - ₹40,000 a month",EmployerActive 3 days ago
10,https://in.indeed.com/rc/clk?jk=e71feffcc6e3655d&fccid=b25343f021fb51d7&vjs=3,Data Analyst,Mercedes-Benz Research and Development India...,4.0,"Bengaluru, Karnataka",N/A,PostedPosted 7 days ago
11,https://in.indeed.com/company/VIPULA-CREATIVE-TECHNOLOGIES-PRIVATE-LIMITED/jobs/Data-Analyst-b9a9db1dcb2a33d9?fccid=096a4494f29b6947&vjs=3,Data Analyst,VIPULA CREATIVE TECHNOLOGIES PRIVATE LIMITED,N/A,"Bengaluru, Karnataka","₹15,000 - ₹25,000 a month",PostedPosted 2 days ago
12,https://in.indeed.com/company/SHC-TECH/jobs/Data-Analyst-0e262644ce7c2ee7?fccid=da79474045f0ddff&vjs=3,Data Analyst,SHC TECH,N/A,"Remote in Bengaluru, Karnataka","₹6,00,000 - ₹9,00,000 a year",PostedPosted 12 days ago
